point,name,latitude,longitude,color
point,1st ST E/B @ Vista Pl (Going Into the Mt Vernon from the Bronx),40.907196,-73.848282,yellow
point,1st ST W/B @ Vista Pl(Going Into Bronx from Mt Vernon),40.907013,-73.848434,yellow
point,3rd ST E/B @ 14th Ave (Going Into Mt. Vernon),40.904758,-73.844521,yellow
point,3rd ST E/B @ 2nd Ave (In Mt. Vernon),40.907219,-73.833443,yellow
point,3rd ST E/B @ Warwick Ave (Going Into Pelham from Mt.Vernon),40.906757,-73.814735,yellow
point,3rd ST W/B @ 14th Ave (Going Into the Bronx from MV),40.904682,-73.844955,yellow
point,3rd ST W/B @ 2nd Ave (In Mt. Vernon),40.907219,-73.833191,yellow
point,3rd ST W/B @ Warwick Ave (Going Into Mt. Vernon),40.906921,-73.815018,yellow
point,5th Ave  N/B @ Valley Pl (In New Rochelle/Towards Larchmont),40.930424,-73.768616,yellow
point,5th Ave N/B @ Kingsbridge Rd (In Mt. Vernon),40.892719,-73.830986,yellow
point,5th Ave S/B @ Kingsbridge Rd (Into the Bronx from Mt. Vernon),40.892586,-73.830917,yellow
point,5th Ave S/B @ Valley Pl (In New Rochelle/ Towards Flowers Park),40.930405,-73.768684,yellow
point,5th St @ 8th Ave (In Mt. Vernon) (One Way Street W/B),40.901299,-73.837303,yellow
point,8th St N/B @ Washington Ave (In New Rochelle/ Toward  Fraser Av),40.90951547,-73.799953,yellow
point,8th St S/B @ Washington Ave (In New Rochelle/Towards Union Ave),40.90951547,-73.799953,yellow
point,9A N/B @ Ashford Ave (In Ardsley),41.012051,-73.848145,yellow
point,9A S/B @ Ashford Ave (In Ardsley),41.011772,-73.848305,yellow
point,Adams St N/B @ Babbitt Rd (Bedford Hills),41.236749,-73.700168,yellow
point,Adams St to Babbitt Rd E/B (Bedford Hills),41.236704,-73.700176,yellow
point,Airport Rd W/B WC Airport,41.073344,-73.70623,yellow
point,Airport Rd E/B WC Airport,41.073359,-73.706281,yellow
point,Ardsley Rd E/B @ Central Ave (In Greenburgh),40.993298,-73.820724,yellow
point,Ardsley Rd W/B @ Central Ave (In Greenburgh),40.99321,-73.820435,yellow
point,Ashford Ave E/B @ 9A (In Ardsley),41.011726,-73.847046,yellow
point,Ashford Ave W/B @ 9A (In Ardsley),41.011822,-73.847679,yellow
point,Bedford Rd E/B @ Marble Ave (In Pleasantville),41.133381,-73.792358,yellow
point,Bedford Rd W/B @ Marble Ave (In Pleasantville),41.133354,-73.79248,yellow
point,Boston Post Rd E/B @ Hutch Overpass (In Pelham Manor),40.891926,-73.815849,yellow
point,Boston Post Rd N/B @ High ST(Going Into Port Chester),40.992989,-73.676178,yellow
point,Boston Post Rd S/B @ High ST(Going Into Rye from PC) (C&L),40.992828,-73.676384,yellow
point,Boston Post Rd S/B @ High ST(Going into Rye from PC) (R),40.992886,-73.676346,yellow
point,Boston Post Rd N/B @ Hornidge Rd(in Rye),40.954995,-73.71522,yellow
point,Boston Post Rd S/B @ Hornidge Rd(in Rye),40.955008,-73.715252,yellow
point,Boston Post Rd W/B @ Hutch Overpass (Into Bronx from Pelham Mnr),40.891842,-73.816154,yellow
point,Broad St E/B @ Fleetwood Ave (In Mt. Vernon),40.926308,-73.837593,yellow
point,Broad St W/B @ N. Terrace Ave (In Mt. Vernon),40.926533,-73.838188,yellow
point,Broadway W/B @ Kensico Dam (In Mt. Pleasant),41.070202,-73.768288,yellow
point,Broadway N/B @ Estherwood Ave (in Dobbs Ferry),41.01522,-73.86978,yellow
point,Broadway S/B @ Estherwood Ave (in Dobbs Ferry),41.01524,-73.86979,yellow
point,Bronx River Rd N/B @ McLean Ave (In Yonkers),40.901142,-73.861565,yellow
point,Bronx River RD N/B @ Wakefield (In Yonkers),40.90638,-73.857788,yellow
point,Bronx River Rd S/B @ McLean Ave (Going into Bronx from Yonkers),40.900948,-73.861633,yellow
point,Bronx River RD S/B @ Wakefield (In Yonkers),40.906212,-73.857895,yellow
point,BRP N/B @ Virginia Rd,41.062492,-73.7742,yellow
point,BRP N/B @ Yonkers Ave (In Yonkers) (L),40.91399,-73.850273,yellow
point,BRP N/B @ Yonkers Ave (In Yonkers) (R+C),40.913933,-73.850319,yellow
point,BRP S/B @ Virginia Rd,41.062286,-73.774307,yellow
point,BRP S/B @ Yonkers Ave (In Yonkers) (R+C),40.91386,-73.850594,yellow
point,Bryant Ave E/B @ North St (In White Plains),41.022469,-73.740906,yellow
point,Bryant Ave W/B @ North St (In White Plains),41.022358,-73.741562,yellow
point,CCP E/B @ Gramatan Ave (In Mt Vernon),40.92639,-73.83548,yellow
point,CCP W/B @ Gramatan Ave (In Mt Vernon),40.92659,-73.83548,yellow
point,Cedar St E/B @ Purchase St (In Rye),40.986408,-73.684006,yellow
point,Cemetery RD W/B @ Ferris Ave (In White Plains),41.045589,-73.773705,yellow
point,Central Ave N/B @ Ardsley Rd (In Greenburgh),40.993252,-73.820511,yellow
point,Central Ave N/B @ Battle Ave (Into White Plains from Greenburgh),41.029053,-73.789772,yellow
point,Central Ave N/B @ Fort Hill Ave (In Yonkers) (L),40.980305,-73.829979,yellow
point,Central Ave N/B @ Fort Hill Ave (In Yonkers) (R),40.980034,-73.830284,yellow
point,Central Ave N/B @ Midland (In Yonkers) (L),40.93483,-73.855827,yellow
point,Central Ave N/B @ Midland (In Yonkers) (R),40.934811,-73.85585,yellow
point,Central Ave S/B @ Ardsley Rd (In Greenburgh),40.993248,-73.820686,yellow
point,Central Ave S/B @ Clark ST (In Yonkers) (L),40.920784,-73.8657,yellow
point,Central Ave S/B @ Clark ST (In Yonkers) (R),40.920773,-73.865761,yellow
point,Central Ave S/B @ Fort Hill Ave (In Yonkers) (R),40.979961,-73.830269,yellow
point,Central Ave S/B @ Midland (In Yonkers) (L),40.934811,-73.856537,yellow
point,Central Ave S/B @ Midland (In Yonkers) (R),40.934784,-73.856544,yellow
point,Central Park Ave N/B @ McLean Ave,40.908722,-73.877396,yellow
point,Central Park Ave S/B @ McLean Ave,40.908813,-73.877884,yellow
point,Cherry St S/B(Proper) over SMRP,41.237907,-73.701172,yellow
point,Cliff St N/B Going Towards Elm St (In Yonkers),40.930084,-73.887421,yellow
point,Columbus Ave N/B @ Lincoln Ave (In Tuckahoe),40.959637,-73.820084,yellow
point,Columbus Ave S/B @ Lincoln Ave (In Tuckahoe),40.959538,-73.820168,yellow
point,Cortlandt St N/B @ Clinton St (In Sleepy Hollow),41.080708,-73.864044,yellow
point,Croton Point Park (Away-Into Park// Towards-Out of Park),41.189213,-73.886414,yellow
point,Dale Road,40.9688399,-73.81600496,yellow
point,Dana Rd E/B @ 9A (IFO Police Academy),41.081287,-73.818069,yellow
point,Division St @ Huguenot St (In New Rochelle)(One Way),40.909397,-73.784088,yellow
point,Dobbs Ferry Rd E/B @ Verne Pl (In Greenburgh),41.036064,-73.812859,yellow
point,Dobbs Ferry Rd W/B @ Verne Pl (In Greenburgh),41.036114,-73.812439,yellow
point,E Post RD EB @ MLK Drive,41.027241,-73.768311,yellow
point,E.Hartsdale Ave  E/B @ The Hartsdale Train Station(To Fenimore),41.011593,-73.796082,yellow
point,E.Hartsdale Ave W/B @The Hartsdale Train Station(To Central Ave),41.01186,-73.796028,yellow
point,E/B on Chelsea St Overpass (In Mt. Pleasant),41.104382,-73.79673,yellow
point,Eastchester Rd E/B @ Pelhamdale (In New Rochelle/Toward Overman),40.925121,-73.804298,yellow
point,Eastchester Rd W/B @ Pelhamdale (In New Rochelle),40.925121,-73.804359,yellow
point,Executive Blvd E/B @ SMRP (In Yonkers) (Left Lane),40.969868,-73.871544,yellow
point,Executive Blvd E/B @ SMRP (In Yonkers) (Right Lane),40.969822,-73.871559,yellow
point,Executive Blvd W/B @ Nepperhan Ave (In Yonkers),40.969978,-73.871956,yellow
point,Farragut Ave N/B @  Merril St (In Hastings)  (Towards Village),40.990509,-73.874138,yellow
point,Farragut Ave S/B @ Merril St (In Hastings) (Towards SMRP),40.99049,-73.874153,yellow
point,Ferris Ave S/B @ Cemetery Rd (In White Plains),41.045528,-73.773598,yellow
point,Fisher Ave E/B @ Columbus Ave (In Tuckahoe /Towards Eastchester),40.958698,-73.82074,yellow
point,Fleetwood Ave S/B @ Broad St (In Mt. Vernon),40.926262,-73.837746,yellow
point,Forest Ave N/B @ Playland Pkwy (In Rye),40.965885,-73.680885,yellow
point,Forest Ave S/B @ Playland Pkwy (In Rye),40.96558,-73.681007,yellow
point,Getting onto 287 from Bloomingdale Rd (In White Plains) (L),41.031471,-73.757607,yellow
point,Getting onto 287 from Bloomingdale Rd (In White Plains) (R),41.03149,-73.757591,yellow
point,Getting onto 95 N/B from Main St (In New Rochelle),40.900475,-73.795059,yellow
point,Getting onto the BRP S/B from Wakefield (In Yonkers),40.905987,-73.857903,yellow
point,Getting onto the HRP S/B from Pinebrook Blvd (In New Rochelle),40.969437,-73.776474,yellow
point,Getting onto the HRP S/B from Westchester Ave E/B (In Harrison),41.013786,-73.720856,yellow
point,Getting onto the N/B Sprain from Jackson Ave (In Greenburgh),40.9881249,-73.8379833,yellow
point,Glen Island Park (Driving Away-into park. Towards- Exiting park),40.889519,-73.782875,yellow
point,Going into Kensico Dam Park (P49),41.070049,-73.767418,yellow
point,Grand Park Ave N/B @ Griffen Ave (In Scarsdale),40.961117,-73.769073,yellow
point,Harney Rd EB @ Garth Rd (Eastchester),40.979493,-73.8128,yellow
point,Harney Rd WB @ Garth Rd (Eastchester),40.97955,-73.812809,yellow
point,Garth Rd NB from Harney Rd (Eastchester),40.979581,-73.812872,yellow
point,Harris Rd E/B @ Rt 117 (In Bedford),41.245926,-73.685448,yellow
point,Heathcote Rd W/B @ Post Rd (In Scarsdale),40.989384,-73.795052,yellow
point,S Ridge St SB @ High St,40.995454,-73.683786,yellow
point,S Ridge St NB @ High St,40.99552,-73.683752,yellow
point,Highland Road W/B @ Purchase St (In Rye),40.986435,-73.684326,yellow
point,Hillside Ave W/B @ Riverdale Ave (In Port Chester),41.012516,-73.656769,yellow
point,HRP N/B @ Mamaroneck Rd (In Scarsdale),40.976852,-73.758293,yellow
point,HRP NB @ Sparks,40.909725,-73.814018,yellow
point,HRP S/B @ Mamaroneck Rd (In Scarsdale),40.97683,-73.758926,yellow
point,HRP SB @ Sparks,40.909462,-73.814095,yellow
point,Huguenot St @ Division St (In New Rochelle)(One Way),40.909428,-73.783989,yellow
point,I-684 N/B @ Barnes Lane (In Harrison),41.053288,-73.728119,yellow
point,I-684 S/B @ Barnes Lane (In Harrison),41.053265,-73.728371,yellow
point,I-684 N/B @ Rt116 (in North Salem),41.326643,-73.657905,yellow
point,I-684 S/B @ Rt116 (In North Salem,41.326447,-73.65811,yellow
point,I-95 N/B @ the Central Ave Overpass (In Rye),40.981133,-73.692139,yellow
point,I-95 N/B @ the Central Ave Overpass (In Rye),40.981171,-73.692032,yellow
point,I-95 S/B @ the Central Ave Overpass (In Rye),40.981178,-73.692337,yellow
point,I-95 S/B @ the Central Ave Overpass (In Rye),40.981136,-73.692352,yellow
point,Independent Way off of 312 - Home Depot (Brewster,41.423378,-73.628555,yellow
point,Jackson Ave E/B @ Grassy Sprain Rd (In Greenburgh),40.9874444,-73.837006,yellow
point,Jackson Ave E/B @ Rt 9A (In Greenburgh),40.987701,-73.863182,yellow
point,Jackson Ave W/B @ Grassy Sprain Rd (In Greenburgh),40.9881038,-73.8383124,yellow
point,JFK Marina (Front entering Park),40.902988,-73.867882,yellow
point,King St @ E/B Beechwood Blvd (Going into Port Chester),41.021744,-73.670166,yellow
point,King St E/B @ N Ridge St(In Rye Brook Going Toward Port Chester),41.037052,-73.675735,yellow
point,King St W/B @ Beechwood (Going into Rye Brook from Port Chester),41.021851,-73.670151,yellow
point,King St W/B @ N Ridge St (In Rye Brook Going Towards Airport),41.037159,-73.675819,yellow
point,Kings Hwy E/B @ Ronalds Ave (Going into New Rochelle),40.902763,-73.797119,yellow
