point,name,latitude,longitude,color
point,Longview School,41.3943,-73.6166,orange
point,School of the Holy Child,41.0117,-73.7051,orange
point,The Ursuline School,40.9498,-73.797,orange
point,Iona Preparatory School,40.9638,-73.7935,orange
point,Clear View School Day Treatment,41.1311,-73.8625,orange
point,Rye Country Day School,40.9883,-73.6811,orange
point,The Masters School,41.0136,-73.8718,orange
point,The Orchard School,40.9764,-73.8772,orange
point,The Hallen School,40.9067,-73.7839,orange
point,Yeshiva Farm Settlement School,41.2289,-73.7488,orange
point,German International School New York,41.0125,-73.7323,orange
point,Andalusia School,40.9348,-73.8859,orange
point,Talmud Torah Bais Yechiel-Nitra,41.2289,-73.7452,orange
point,The Westfield Day School,40.9848,-73.6833,orange
point,The Solomon Schechter School of Westchester,41.0331,-73.8075,orange
point,Soundview Preparatory School,41.2689,-73.7852,orange
point,Westchester Muslim Center School,40.9275,-73.8177,orange
point,John a Coleman School,40.969,-73.8787,orange
point,New York School for the Deaf,41.0539,-73.7986,orange
point,French American School of New York,40.9503,-73.7412,orange
point,The Harvey School,41.2542,-73.6664,orange
point,Hudson View Christian Academy,40.9538,-73.8917,orange
point,Westchester Exceptional Childrens School,41.3286,-73.6586,orange
point,St James the Apostle School,41.4238,-73.6775,orange
point,Hudson Valley Christian Academy,41.3726,-73.7664,orange
point,Pine Grove Country Day School,41.3658,-73.7617,orange
point,St Columbanus School,41.3132,-73.9033,orange
point,Transfiguration School,41.0674,-73.8608,orange
point,St Anthony School,40.9719,-73.8718,orange
point,St John the Baptist,40.9247,-73.868,orange
point,Our Lady of Perpetual Help School,40.8977,-73.803,orange
point,Corpus Christi Holy Rosary School,41.0007,-73.6751,orange
point,Resurrection School,40.976,-73.6845,orange
point,Immaculate Conception School,40.9472,-73.8215,orange
point,Our Lady of Sorrows School,41.0113,-73.7539,orange
point,Sacred Heart Grade School,40.9493,-73.8863,orange
point,St Ann School,40.9363,-73.8643,orange
point,St Eugene School,40.9536,-73.8418,orange
point,St Patrick School,41.268,-73.7726,orange
point,St Elizabeth Ann Seton School,41.326,-73.839,orange
point,Sacred Heart School,41.0197,-73.7966,orange
point,Holy Name of Jesus,40.9188,-73.772,orange
point,Iona Preparatory Lower School,40.966,-73.7882,orange
point,St Patrick'S School,41.2001,-73.6457,orange
point,Our Lady of Mount Carmel School,41.0543,-73.8168,orange
point,St Joseph School,40.9379,-73.8339,orange
point,St Augustine School,41.184,-73.8734,orange
point,Mount Tom Day School,40.8937,-73.7889,orange
point,St Mark'S Lutheran School,40.9032,-73.8673,orange
point,Our Montessori School,41.2827,-73.7933,orange
point,Hudson Country Montessori School,40.9542,-73.7834,orange
point,Westchester Area School,40.9185,-73.7964,orange
point,Our Lady of Victory School,40.9128,-73.8387,orange
point,John Cardinal Oconnor School,41.04,-73.863,orange
point,Mohawk Country Day School,41.0477,-73.7851,orange
point,Montessori Childrens Room,41.1186,-73.7187,orange
point,Good Counsel Academy Elementary School,41.0725,-73.7701,orange
point,The Pre School Learning Center,40.9273,-73.7942,orange
point,World Cup Nursery School & Kindergarten,41.1628,-73.7713,orange
point,New Testament Church School,40.9277,-73.8827,orange
point,Hawthorne Country Day School,41.0848,-73.7982,orange
point,Alcott School,41.02,-73.8705,orange
point,Emmanuel Children'S Mission School,40.9103,-73.8379,orange
point,Thistlewaithe Learning Center,41.2673,-73.5421,orange
point,Lyceum Kennedy,41.0053,-73.8368,orange
point,Sarah Lawrence Early Childhood Center,40.9344,-73.8435,orange
point,Cerebral Palsy of Westchester- Inc,41.0532,-73.6894,orange
point,Westchester Torah Academy,40.9657,-73.7802,orange
point,Ss John & Paul School,40.941,-73.7556,orange
point,Yonkers Christian Academy,40.9422,-73.8951,orange
point,Westchester School for Special Children,40.9416,-73.8924,orange
point,Bright Beginnings Pre School Learning Center,41.2762,-73.7803,orange
point,Montessori School of New Rochelle in Pelham,40.8876,-73.7922,orange
point,Oakview Prep School of Sda,40.9353,-73.8901,orange
point,Kodomono Kuni,41.0048,-73.7672,orange
point,Stein Yeshiva of Lincoln Park,40.9156,-73.8736,orange
point,Alcott School,40.991,-73.8035,orange
point,Ridgeway Nursery School & Kindergarten,41.013,-73.738,orange
point,Eyes Ears of the World,40.9104,-73.8877,orange
point,Archbishop Stepinac High School,41.0075,-73.7523,orange
point,Sacred Heart High School,40.9498,-73.8863,orange
point,John F Kennedy Catholic High School,41.3041,-73.6892,orange
point,Maria Regina High School,41.0327,-73.81,orange
point,Salesian High School,40.9158,-73.7677,orange
point,The Karafin School,41.1928,-73.7346,orange
point,The Biondi School,40.9159,-73.9076,orange
point,Ohr Hameir Seminary - Tifereth Israel High School,41.2687,-73.8899,orange
point,Montfort Academy,40.9271,-73.8318,orange
point,Lincoln Hall Ives School,41.3195,-73.7199,orange
point,Keio Academy of New York,41.0316,-73.719,orange
point,Cardinal Mccloskey School,41.1686,-73.8639,orange
