point,name,latitude,longitude,color
point,Bronxville Elementary School,40.9376,-73.8308,orange
point,Bronxville Middle School,40.9376,-73.8308,orange
point,Mount Pleasant-Cottage School,41.1272,-73.7728,orange
point,Edenwald School,41.1287,-73.7784,orange
point,Anne Hutchinson School,40.9548,-73.8081,orange
point,Eastchester Middle School,40.9603,-73.8108,orange
point,Greenburgh Eleven High School,41.008,-73.8629,orange
point,Ziccolella Elementary School,40.9795,-73.8811,orange
point,Ziccolella Middle School,40.9793,-73.8828,orange
point,Hawthorne Cedar Knolls Sr/Jr High School,41.104,-73.7856,orange
point,Linden Hill School,41.104,-73.7856,orange
point,Blythedale School,41.0763,-73.7987,orange
point,North Salem Middle School/High School,41.3556,-73.5953,orange
point,Yonkers Montessori Academy,40.9077,-73.8622,orange
point,Putnam-Westchester Boces,41.277,-73.7647,orange
point,Westchester Boces,41.0221,-73.6878,orange
point,Henry H Wells Middle School,41.435,-73.6041,orange
point,John F Kennedy Elementary School,41.4398,-73.6044,orange
point,C V Starr Intermediate School,41.4356,-73.6049,orange
point,George Fischer Middle School,41.44,-73.653,orange
point,Kent Elementary School,41.4922,-73.6823,orange
point,Kent Primary School,41.4907,-73.6805,orange
point,Matthew Paterson Elementary School,41.5062,-73.6067,orange
point,Garrison School,41.3799,-73.9362,orange
point,Haldane Elementary/Middle School,41.424,-73.9555,orange
point,Austin Road Elementary School,41.3925,-73.7731,orange
point,Fulmar Road Elementary School,41.3807,-73.7155,orange
point,Lakeview Elementary School,41.3723,-73.7242,orange
point,Mahopac Middle School,41.3694,-73.7564,orange
point,Putnam Valley Elementary School,41.3547,-73.872,orange
point,Putnam Valley Middle School,41.3361,-73.8588,orange
point,Charter School of Educational Excellence,40.9442,-73.8968,orange
point,Amani Public Charter School,40.9098,-73.8354,orange
point,Ardsley Middle School,41.0024,-73.8391,orange
point,Concord Road Elementary School,41.0198,-73.8412,orange
point,Todd Elementary School,41.1477,-73.8177,orange
point,Briarcliff Middle School,41.1344,-73.812,orange
point,Coman Hill School,41.1579,-73.6851,orange
point,H C Crittenden Middle School,41.1247,-73.7067,orange
point,Wampus School,41.1316,-73.7096,orange
point,Douglas G Grafflin School,41.1541,-73.7575,orange
point,Roaring Brook School,41.1816,-73.7774,orange
point,Robert E Bell School,41.1567,-73.7721,orange
point,Westorchard School,41.1915,-73.7897,orange
point,Seven Bridges Middle School,41.207,-73.7722,orange
point,Carrie E Tompkins School,41.2085,-73.8743,orange
point,Pierre Van Cortlandt School,41.2054,-73.8834,orange
point,Springhurst Elementary School,41.0077,-73.8628,orange
point,Dobbs Ferry Middle School,41.0176,-73.8711,orange
point,Greenvale School,40.9732,-73.8062,orange
