point,name,latitude,longitude,color
point,Blythedale Children's Hospital,41.0749588,-73.79972742,green
point,St John's Riverside Hospital - Dobbs Ferry Pavilion,41.01453759,-73.86191159,green
point,NewYork-Presbyterian Hudson Valley Hospital,41.29286797,-73.892719,green
point,Montefiore Mount Vernon Hospital,40.91289786,-73.83985063,green
point,Montefiore New Rochelle Hospital,40.912744,-73.78680581,green
point,NewYork-Presbyterian Westchester -Bronxville ,40.94239564,-73.83661345,green
point,Northern Westchester Hospital,41.19692246,-73.72540456,green
point,Phelps Hospital,41.12123792,73.86247001,green
point,St. John's Riverside Hospital,40.9691409,-73.88627559,green
point,Westchester Medical Center,41.08897404,-73.80584146,green
